epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3154,2.03455,4.05921,3.24667,0.24927,0.00469,0.57895,0.00393,0.00154,1.94782,3.96577,3.48894,0.21921,0.0001,0.0001,0.0001
2,55.6705,1.98724,3.49478,3.04068,0.21283,0.91501,0.31579,0.49859,0.21028,2.15961,3.08056,2.77356,0.23694,0.000215644,0.000215644,0.000215644
3,80.7041,1.84331,2.59127,2.17118,0.19343,0.77231,0.68421,0.65533,0.39426,1.8106,2.60538,2.3597,0.14152,0.000326536,0.000326536,0.000326536
4,109.704,1.65673,2.19415,2.00921,0.16187,0.81464,0.57895,0.65914,0.39218,1.74241,2.55524,1.99784,0.1747,0.000432676,0.000432676,0.000432676
5,136.344,1.72306,2.08561,1.86261,0.20999,0.69913,0.68421,0.76534,0.39777,1.69745,2.18929,1.81856,0.18176,0.000534064,0.000534064,0.000534064
6,163.556,1.48717,1.58928,1.8673,0.17752,0.94258,0.86473,0.92247,0.52615,1.62115,1.56081,1.77793,0.14507,0.0006307,0.0006307,0.0006307
7,190.14,1.52645,1.40099,1.73827,0.16208,0.98953,0.89474,0.93277,0.61893,1.50268,1.3763,1.66961,0.106,0.000722584,0.000722584,0.000722584
8,223.696,1.36546,1.26649,1.65306,0.12138,0.98744,0.89474,0.96794,0.6399,1.28572,1.24849,1.44653,0.08508,0.000809716,0.000809716,0.000809716
9,257.091,1.35357,1.18339,1.60002,0.14175,0.88781,0.89474,0.96952,0.6634,1.09724,1.35868,1.34766,0.07052,0.000892096,0.000892096,0.000892096
10,283.989,1.23816,1.13772,1.56668,0.11635,0.99225,0.78947,0.95567,0.68357,1.04993,1.22138,1.28851,0.06919,0.000969724,0.000969724,0.000969724
