epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8095,1.63955,4.05201,2.41093,0.3425,0.0156,0.13889,0.04594,0.0219,1.46741,3.8799,2.80906,0.17876,2.858e-05,2.858e-05,2.858e-05
2,33.5026,1.63344,3.84047,2.55766,0.26289,0.01634,0.19444,0.07331,0.03682,1.4306,3.60798,2.78753,0.19438,7.00353e-05,7.00353e-05,7.00353e-05
3,50.5751,1.4906,3.40002,2.4623,0.19639,0.06236,0.22222,0.10893,0.07895,1.34464,3.30457,2.71309,0.18581,0.000109793,0.000109793,0.000109793
4,66.5295,1.40609,3.03797,2.41638,0.17965,0.76702,0.16667,0.28671,0.18543,1.27357,2.95082,2.58924,0.18168,0.000147853,0.000147853,0.000147853
5,84.2076,1.36722,2.49568,2.2263,0.16379,0.7306,0.33333,0.51702,0.34217,1.24928,2.45574,2.42116,0.17552,0.000184215,0.000184215,0.000184215
6,101.417,1.25836,2.00701,1.91854,0.1249,0.80798,0.47046,0.68996,0.47112,1.22624,2.07302,2.30126,0.15917,0.00021888,0.00021888,0.00021888
7,117.33,1.22479,1.80421,1.86985,0.14543,0.90073,0.62505,0.79999,0.57772,1.17672,1.69724,2.18493,0.1571,0.000251847,0.000251847,0.000251847
8,131.901,1.12637,1.61924,1.83251,0.13895,1,0.64297,0.85224,0.6158,1.14974,1.5529,2.14459,0.15186,0.000283116,0.000283116,0.000283116
9,147.024,1.19893,1.59242,1.90918,0.13774,0.89878,0.72776,0.91222,0.68988,1.06425,1.36238,2.0373,0.14685,0.000312688,0.000312688,0.000312688
10,162.465,1.05733,1.40189,1.80936,0.14253,0.84584,0.77769,0.92752,0.71575,0.99362,1.31173,2.02727,0.14572,0.000340562,0.000340562,0.000340562
11,178.186,1.06326,1.39986,1.77176,0.14976,1,0.80812,0.95077,0.75934,0.88886,1.12898,2.02129,0.13566,0.000366739,0.000366739,0.000366739
12,191.79,1.0525,1.29764,1.79621,0.13344,0.9706,0.81475,0.94734,0.75502,0.8514,1.07224,2.00681,0.13193,0.000391217,0.000391217,0.000391217
13,205.802,1.03421,1.21155,1.87731,0.148,0.94881,0.87674,0.95956,0.74636,0.85523,1.03294,1.98701,0.12602,0.000413998,0.000413998,0.000413998
